schedule,min,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,schedule,max,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,schedule,default,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A
SecondarySchoolHtgSetpDefault,SecondarySchoolHtgSetpDefault,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,SecondarySchoolHtgSetpDefault,SecondarySchoolHtgSetpDefault,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,SecondarySchoolHtgSetpDefault,SecondarySchoolHtgSetpDefault,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
SecondarySchoolClgSetpDefault,SecondarySchoolClgSetpDefault,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,SecondarySchoolClgSetpDefault,SecondarySchoolClgSetpDefault,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,SecondarySchoolClgSetpDefault,SecondarySchoolClgSetpDefault,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
SecondarySchoolHtgSetpBathCorrMechKitchenDefault,SecondarySchoolHtgSetpBathCorrMechKitchenDefault,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,SecondarySchoolHtgSetpBathCorrMechKitchenDefault,SecondarySchoolHtgSetpBathCorrMechKitchenDefault,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,SecondarySchoolHtgSetpBathCorrMechKitchenDefault,SecondarySchoolHtgSetpBathCorrMechKitchenDefault,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
SecondarySchoolClgSetpBathCorrMechKitchenDefault,SecondarySchoolClgSetpBathCorrMechKitchenDefault,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,SecondarySchoolClgSetpBathCorrMechKitchenDefault,SecondarySchoolClgSetpBathCorrMechKitchenDefault,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,SecondarySchoolClgSetpBathCorrMechKitchenDefault,SecondarySchoolClgSetpBathCorrMechKitchenDefault,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
SchoolSecondaryBLDG_SWH_SCHDefault,SchoolSecondaryBLDG_SWH_SCHDefault,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,SchoolSecondaryBLDG_SWH_SCHDefault,SchoolSecondaryBLDG_SWH_SCHDefault,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,SchoolSecondaryBLDG_SWH_SCHDefault,SchoolSecondaryBLDG_SWH_SCHDefault,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
SecondarySchoolBldgEquipDefault,SecondarySchoolBldgEquipDefault,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,SecondarySchoolBldgEquipDefault,SecondarySchoolBldgEquipDefault,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,SecondarySchoolBldgEquipDefault,SecondarySchoolBldgEquipDefault,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
SecondarySchoolBldgEquipWkdyDay,SecondarySchoolBldgEquipWkdyDay,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,SecondarySchoolBldgEquipWkdyDay,SecondarySchoolBldgEquipWkdyDay,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,SecondarySchoolBldgEquipWkdyDay,SecondarySchoolBldgEquipWkdyDay,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
SecondarySchoolBldgEquipWkdy|SmrDsnDay,SecondarySchoolBldgEquipWkdy|SmrDsnDay,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,SecondarySchoolBldgEquipWkdy|SmrDsnDay,SecondarySchoolBldgEquipWkdy|SmrDsnDay,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,SecondarySchoolBldgEquipWkdy|SmrDsnDay,SecondarySchoolBldgEquipWkdy|SmrDsnDay,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
SecondarySchoolBldgLightDefault,SecondarySchoolBldgLightDefault,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,SecondarySchoolBldgLightDefault,SecondarySchoolBldgLightDefault,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,SecondarySchoolBldgLightDefault,SecondarySchoolBldgLightDefault,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
SecondarySchoolBldgOccDefault,SecondarySchoolBldgOccDefault,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,SecondarySchoolBldgOccDefault,SecondarySchoolBldgOccDefault,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,SecondarySchoolBldgOccDefault,SecondarySchoolBldgOccDefault,35,35,35,35,35,35,35,35,35,35,35,35,35,35,
SecondarySchoolPSZ-ACOperationDefault,SecondarySchoolPSZ-ACOperationDefault,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,SecondarySchoolPSZ-ACOperationDefault,SecondarySchoolPSZ-ACOperationDefault,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,SecondarySchoolPSZ-ACOperationDefault,SecondarySchoolPSZ-ACOperationDefault,35,35,35,35,35,35,35,35,35,35,35,35,35,35,
SecondarySchoolVAVOperationDefault,SecondarySchoolVAVOperationDefault,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,SecondarySchoolVAVOperationDefault,SecondarySchoolVAVOperationDefault,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,SecondarySchoolVAVOperationDefault,SecondarySchoolVAVOperationDefault,35,35,35,35,35,35,35,35,35,35,35,35,35,35,
